index	author	title	pages	year	booktitle	source	ee	crossref	url	editor	publisher	series	volume	isbn	cdrom	cite	<cyfunction Entity at 0x10ed74c00>	note	journal	number	abstract	keywords	citation_count	author_processed	keywords_processed	citation_count_processed	abstract_processed	title_processed
7365	['Gareth Barnaby', 'Anne Roudaut']	Mantis: A Scalable, Lightweight and Accessible Architecture to Build Multiform Force Feedback Systems.	937-948	2019	UIST	UIST	['https://doi.org/10.1145/3332165.3347909']	conf/uist/2019	['db/conf/uist/uist2019.html#BarnabyR19']												Mantis is a highly scalable system architecture that democratizes haptic devices by enabling designers to create accurate, multiform and accessible force feedback systems. Mantis uses brushless DC motors, custom electronic controllers, and an admittance control scheme to achieve stable high-quality haptic rendering. It enables common desktop form factors but also: large workspaces (multiple arm lengths), multiple arm workspaces, and mobile workspaces. It also uses accessible components and costs significantly less than typical high-fidelity force feedback solutions which are often confined to research labs. We present our design and show that Mantis can reproduce the haptic fidelity of common robotic arms. We demonstrate its multiform ability by implementing five systems: a single desktop-sized device, a single large workspace device, a large workspace system with four points of feedback, a mobile system and a wearable one.	['Communication hardware', 'Tactile and hand-based interfaces', 'Haptic devices', 'Hardware']	3	['Gareth Barnaby', 'Anne Roudaut']	['Hardware', 'Tactile And Hand-based Interfaces', 'Haptic Devices', 'Communication Hardware']	3.0	Mantis is a highly scalable system architecture that democratizes haptic devices by enabling designers to create accurate, multiform and accessible force feedback systems. Mantis uses brushless DC motors, custom electronic controllers, and an admittance control scheme to achieve stable high-quality haptic rendering. It enables common desktop form factors but also: large workspaces (multiple arm lengths), multiple arm workspaces, and mobile workspaces. It also uses accessible components and costs significantly less than typical high-fidelity force feedback solutions which are often confined to research labs. We present our design and show that Mantis can reproduce the haptic fidelity of common robotic arms. We demonstrate its multiform ability by implementing five systems: a single desktop-sized device, a single large workspace device, a large workspace system with four points of feedback, a mobile system and a wearable one.	Mantis: A Scalable, Lightweight and Accessible Architecture to Build Multiform Force Feedback Systems.
7366	['Yasuaki Monnai', 'Keisuke Hasegawa', 'Masahiro Fujiwara', 'Kazuma Yoshino', 'Seki Inoue', 'Hiroyuki Shinoda']	HaptoMime: mid-air haptic interaction with a floating virtual screen.	663-667	2014	UIST	UIST	['https://doi.org/10.1145/2642918.2647407']	conf/uist/2014	['db/conf/uist/uist2014.html#MonnaiHFYIS14']												We present HaptoMime, a mid-air interaction system that allows users to touch a floating virtual screen with hands-free tactile feedback. Floating images formed by tailored light beams are inherently lacking in tactile feedback. Here we propose a method to superpose hands-free tactile feedback on such a floating image using ultrasound. By tracking a fingertip with an electronically steerable ultrasonic beam, the fingertip encounters a mechanical force consistent with the floating image. We demonstrate and characterize the proposed transmission scheme and discuss promising applications with an emphasis that it helps us 'pantomime' in mid-air.	['Human computer interaction (HCI)', 'Human-centered computing', 'Interaction devices', 'Haptic devices']	57	['Yasuaki Monnai', 'Keisuke Hasegawa', 'Masahiro Fujiwara', 'Kazuma Yoshino', 'Seki Inoue', 'Hiroyuki Shinoda']	['Interaction Devices', 'Human Computer Interaction', 'Haptic Devices', 'Human-centered Computing']	57.0	We present HaptoMime, a mid-air interaction system that allows users to touch a floating virtual screen with hands-free tactile feedback. Floating images formed by tailored light beams are inherently lacking in tactile feedback. Here we propose a method to superpose hands-free tactile feedback on such a floating image using ultrasound. By tracking a fingertip with an electronically steerable ultrasonic beam, the fingertip encounters a mechanical force consistent with the floating image. We demonstrate and characterize the proposed transmission scheme and discuss promising applications with an emphasis that it helps us 'pantomime' in mid-air.	HaptoMime: mid-air haptic interaction with a floating virtual screen.
7367	['Andrew Wilson', 'Hrvoje Benko', 'Shahram Izadi', 'Otmar Hilliges']	Steerable augmented reality with the beamatron.	413-422	2012	UIST	UIST	['https://doi.org/10.1145/2380116.2380169']	conf/uist/2012	['db/conf/uist/uist2012.html#WilsonBIH12']												Steerable displays use a motorized platform to orient a projector to display graphics at any point in the room. Often a camera is included to recognize markers and other objects, as well as user gestures in the display volume. Such systems can be used to superimpose graphics onto the real world, and so are useful in a number of augmented reality and ubiquitous computing scenarios. We contribute the Beamatron, which advances steerable displays by drawing on recent progress in depth camera-based interactions. The Beamatron consists of a computer-controlled pan and tilt platform on which is mounted a projector and Microsoft Kinect sensor. While much previous work with steerable displays deals primarily with projecting corrected graphics onto a discrete set of static planes, we describe computational techniques that enable reasoning in 3D using live depth data. We show two example applications that are enabled by the unique capabilities of the Beamatron: an augmented reality game in which a player can drive a virtual toy car around a room, and a ubiquitous computing demo that uses speech and gesture to move projected graphics throughout the room.	['Human computer interaction (HCI)', 'Human-centered computing']	70	['Andrew Wilson', 'Hrvoje Benko', 'Shahram Izadi', 'Otmar Hilliges']	['Human Computer Interaction', 'Human-centered Computing']	70.0	Steerable displays use a motorized platform to orient a projector to display graphics at any point in the room. Often a camera is included to recognize markers and other objects, as well as user gestures in the display volume. Such systems can be used to superimpose graphics onto the real world, and so are useful in a number of augmented reality and ubiquitous computing scenarios. We contribute the Beamatron, which advances steerable displays by drawing on recent progress in depth camera-based interactions. The Beamatron consists of a computer-controlled pan and tilt platform on which is mounted a projector and Microsoft Kinect sensor. While much previous work with steerable displays deals primarily with projecting corrected graphics onto a discrete set of static planes, we describe computational techniques that enable reasoning in 3D using live depth data. We show two example applications that are enabled by the unique capabilities of the Beamatron: an augmented reality game in which a player can drive a virtual toy car around a room, and a ubiquitous computing demo that uses speech and gesture to move projected graphics throughout the room.	Steerable augmented reality with the beamatron.
7368	['Lawrence D. Bergman', 'Vittorio Castelli', 'Tessa A. Lau', 'Daniel Oblinger']	DocWizards: a system for authoring follow-me documentation wizards.	191-200	2005	UIST	UIST	['https://doi.org/10.1145/1095034.1095067']	conf/uist/2005	['db/conf/uist/uist2005.html#BergmanCLO05']												Traditional documentation for computer-based procedures is difficult to use: readers have trouble navigating long complex instructions, have trouble mapping from the text to display widgets, and waste time performing repetitive procedures. We propose a new class of improved documentation that we call follow-me documentation wizards. Follow-me documentation wizards step a user through a script representation of a procedure by highlighting portions of the text, as well application UI elements. This paper presents algorithms for automatically capturing follow-me documentation wizards by demonstration, through observing experts performing the procedure. We also present our DocWizards implementation on the Eclipse platform. We evaluate our system with an initial user study that showing that most users have a marked preference for this form of guidance over traditional documentation.	['Human computer interaction (HCI)', 'Human-centered computing']	68	['Lawrence D. Bergman', 'Vittorio Castelli', 'Tessa A. Lau', 'Daniel Oblinger']	['Human Computer Interaction', 'Human-centered Computing']	68.0	Traditional documentation for computer-based procedures is difficult to use: readers have trouble navigating long complex instructions, have trouble mapping from the text to display widgets, and waste time performing repetitive procedures. We propose a new class of improved documentation that we call follow-me documentation wizards. Follow-me documentation wizards step a user through a script representation of a procedure by highlighting portions of the text, as well application UI elements. This paper presents algorithms for automatically capturing follow-me documentation wizards by demonstration, through observing experts performing the procedure. We also present our DocWizards implementation on the Eclipse platform. We evaluate our system with an initial user study that showing that most users have a marked preference for this form of guidance over traditional documentation.	DocWizards: a system for authoring follow-me documentation wizards.
7369	"['Camilo Fosco', 'Vincent Casser', 'Amish Kumar Bedi', ""Peter O'Donovan"", 'Aaron Hertzmann', 'Zoya Bylinskii']"	Predicting Visual Importance Across Graphic Design Types.	249-260	2020	UIST	UIST	['https://doi.org/10.1145/3379337.3415825']	conf/uist/2020	['db/conf/uist/uist2020.html#FoscoCBOHB20']												This paper introduces a Unified Model of Saliency and Importance (UMSI), which learns to predict visual importance in input graphic designs, and saliency in natural images, along with a new dataset and applications. Previous methods for predicting saliency or visual importance are trained individually on specialized datasets, making them limited in application and leading to poor generalization on novel image classes, while requiring a user to know which model to apply to which input. UMSI is a deep learning-based model simultaneously trained on images from different design classes, including posters, infographics, mobile UIs, as well as natural images, and includes an automatic classification module to classify the input. This allows the model to work more effectively without requiring a user to label the input. We also introduce Imp1k, a new dataset of designs annotated with importance information. We demonstrate two new design interfaces that use importance prediction, including a tool for adjusting the relative importance of design elements, and a tool for reflowing designs to new aspect ratios while preserving visual importance.	['Machine learning', 'Multimedia information systems', 'Interest point and salient region detections', 'Information systems', 'Computer vision', 'Scene understanding', 'Information systems applications', 'Computing methodologies', 'Computer vision problems', 'Machine learning approaches', 'Artificial intelligence', 'Neural networks', 'Computer vision tasks']	0	"['Camilo Fosco', 'Vincent Casser', 'Amish Kumar Bedi', ""Peter O'donovan"", 'Aaron Hertzmann', 'Zoya Bylinskii']"	['Multimedia Information Systems', 'Scene Understanding', 'Computing Methodologies', 'Computer Vision', 'Information Systems', 'Computer Vision Problems', 'Artificial Intelligence', 'Information Systems Applications', 'Computer Vision Tasks', 'Machine Learning Approaches', 'Neural Networks', 'Machine Learning', 'Interest Point And Salient Region Detections']	0.0	This paper introduces a Unified Model of Saliency and Importance (UMSI), which learns to predict visual importance in input graphic designs, and saliency in natural images, along with a new dataset and applications. Previous methods for predicting saliency or visual importance are trained individually on specialized datasets, making them limited in application and leading to poor generalization on novel image classes, while requiring a user to know which model to apply to which input. UMSI is a deep learning-based model simultaneously trained on images from different design classes, including posters, infographics, mobile UIs, as well as natural images, and includes an automatic classification module to classify the input. This allows the model to work more effectively without requiring a user to label the input. We also introduce Imp1k, a new dataset of designs annotated with importance information. We demonstrate two new design interfaces that use importance prediction, including a tool for adjusting the relative importance of design elements, and a tool for reflowing designs to new aspect ratios while preserving visual importance.	Predicting Visual Importance Across Graphic Design Types.
7370	['Joanne Lo', 'Eric Paulos']	ShrinkyCircuits: sketching, shrinking, and formgiving for electronic circuits.	291-299	2014	UIST	UIST	['https://doi.org/10.1145/2642918.2647421']	conf/uist/2014	['db/conf/uist/uist2014.html#LoP14']												In this paper we describe the development of ShrinkyCircuits, a novel electronic prototyping technique that captures the flexibility of sketching and leverages properties of a common everyday plastic polymer to enable low-cost, miniature, planar, and curved, multi-layer circuit designs in minutes. ShrinkyCircuits take advantage of inexpensive prestressed polymer film that shrinks to its original size when exposed to heat. This enables improved electrical characteristics though sintering of the conductive electrical layer, partial self-assembly of the circuit and components, and mechanically robust custom shapes Including curves and non-planar form factors. We demonstrate the range and adaptability of ShrinkyCircuits designs from simple hand drawn circuits with through-hole components to complex multilayer, printed circuit boards (PCB), with curved and irregular shaped electronic layouts and surface mount components. Our approach enables users to create extremely customized circuit boards with dense circuit layouts while avoiding messy chemical etching, expensive board milling machines, or time consuming delays in using outside PCB production houses.	['Human-centered computing']	17	['Joanne Lo', 'Eric Paulos']	['Human-centered Computing']	17.0	In this paper we describe the development of ShrinkyCircuits, a novel electronic prototyping technique that captures the flexibility of sketching and leverages properties of a common everyday plastic polymer to enable low-cost, miniature, planar, and curved, multi-layer circuit designs in minutes. ShrinkyCircuits take advantage of inexpensive prestressed polymer film that shrinks to its original size when exposed to heat. This enables improved electrical characteristics though sintering of the conductive electrical layer, partial self-assembly of the circuit and components, and mechanically robust custom shapes Including curves and non-planar form factors. We demonstrate the range and adaptability of ShrinkyCircuits designs from simple hand drawn circuits with through-hole components to complex multilayer, printed circuit boards (PCB), with curved and irregular shaped electronic layouts and surface mount components. Our approach enables users to create extremely customized circuit boards with dense circuit layouts while avoiding messy chemical etching, expensive board milling machines, or time consuming delays in using outside PCB production houses.	ShrinkyCircuits: sketching, shrinking, and formgiving for electronic circuits.
7371	['T. Scott Saponas', 'Chris Harrison 0001', 'Hrvoje Benko']	PocketTouch: through-fabric capacitive touch input.	303-308	2011	UIST	UIST	['https://doi.org/10.1145/2047196.2047235']	conf/uist/2011	['db/conf/uist/uist2011.html#SaponasHB11']												PocketTouch is a capacitive sensing prototype that enables eyes-free multitouch input on a handheld device without having to remove the device from the pocket of one's pants, shirt, bag, or purse. PocketTouch enables a rich set of gesture interactions, ranging from simple touch strokes to full alphanumeric text entry. Our prototype device consists of a custom multitouch capacitive sensor mounted on the back of a smartphone. Similar capabilities could be enabled on most existing capacitive touchscreens through low-level access to the capacitive sensor. We demonstrate how touch strokes can be used to initialize the device for interaction and how strokes can be processed to enable text recognition of characters written over the same physical area. We also contribute a comparative study that empirically measures how different fabrics attenuate touch inputs, providing insight for future investigations. Our results suggest that PocketTouch will work reliably with a wide variety of fabrics used in today's garments, and is a viable input method for quick eyes-free operation of devices in pockets.	['Human computer interaction (HCI)', 'Human-centered computing']	60	['T. Scott Saponas', 'Chris Harrison 0001', 'Hrvoje Benko']	['Human Computer Interaction', 'Human-centered Computing']	60.0	PocketTouch is a capacitive sensing prototype that enables eyes-free multitouch input on a handheld device without having to remove the device from the pocket of one's pants, shirt, bag, or purse. PocketTouch enables a rich set of gesture interactions, ranging from simple touch strokes to full alphanumeric text entry. Our prototype device consists of a custom multitouch capacitive sensor mounted on the back of a smartphone. Similar capabilities could be enabled on most existing capacitive touchscreens through low-level access to the capacitive sensor. We demonstrate how touch strokes can be used to initialize the device for interaction and how strokes can be processed to enable text recognition of characters written over the same physical area. We also contribute a comparative study that empirically measures how different fabrics attenuate touch inputs, providing insight for future investigations. Our results suggest that PocketTouch will work reliably with a wide variety of fabrics used in today's garments, and is a viable input method for quick eyes-free operation of devices in pockets.	PocketTouch: through-fabric capacitive touch input.
7372	['Artem Dementyev', 'Tom', 'Alex Olwal']	SensorSnaps: Integrating Wireless Sensor Nodes into Fabric Snap Fasteners for Textile Interfaces.	17-28	2019	UIST	UIST	['https://doi.org/10.1145/3332165.3347913']	conf/uist/2019	['db/conf/uist/uist2019.html#DementyevGO19']												Adding electronics to textiles can be time-consuming and requires technical expertise. We introduce SensorSnaps, low-power wireless sensor nodes that seamlessly integrate into caps of fabric snap fasteners. SensorSnaps provide a new technique to quickly and intuitively augment any location on the clothing with sensing capabilities. SensorSnaps securely attach and detach from ubiquitous commercial snap fasteners. Using inertial measurement units, the SensorSnaps detect tap and rotation gestures, as well as track body motion. We optimized the power consumption for SensorSnaps to work continuously for 45 minutes and up to 4 hours in capacitive touch standby mode. We present applications in which the SensorSnaps are used as gestural interfaces for a music player controller, cursor control, and motion tracking suit. The user study showed that SensorSnap could be attached in around 71 seconds, similar to attaching off-the-shelf snaps, and participants found the gestures easy to learn and perform. SensorSnaps could allow anyone to effortlessly add sophisticated sensing capacities to ubiquitous snap fasteners.	['Interaction techniques', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction devices']	5	['Artem Dementyev', 'Tom', 'Alex Olwal']	['Interaction Devices', 'Human Computer Interaction', 'Human-centered Computing', 'Interaction Techniques']	5.0	Adding electronics to textiles can be time-consuming and requires technical expertise. We introduce SensorSnaps, low-power wireless sensor nodes that seamlessly integrate into caps of fabric snap fasteners. SensorSnaps provide a new technique to quickly and intuitively augment any location on the clothing with sensing capabilities. SensorSnaps securely attach and detach from ubiquitous commercial snap fasteners. Using inertial measurement units, the SensorSnaps detect tap and rotation gestures, as well as track body motion. We optimized the power consumption for SensorSnaps to work continuously for 45 minutes and up to 4 hours in capacitive touch standby mode. We present applications in which the SensorSnaps are used as gestural interfaces for a music player controller, cursor control, and motion tracking suit. The user study showed that SensorSnap could be attached in around 71 seconds, similar to attaching off-the-shelf snaps, and participants found the gestures easy to learn and perform. SensorSnaps could allow anyone to effortlessly add sophisticated sensing capacities to ubiquitous snap fasteners.	SensorSnaps: Integrating Wireless Sensor Nodes into Fabric Snap Fasteners for Textile Interfaces.
7374	['Adiyan Mujibiya', 'Jun Rekimoto']	Mirage: exploring interaction modalities using off-body static electric field sensing.	211-220	2013	UIST	UIST	['https://doi.org/10.1145/2501988.2502031']	conf/uist/2013	['db/conf/uist/uist2013.html#MujibiyaR13']												Mirage proposes an effective non body contact technique to infer the amount and type of body motion, gesture, and activity. This approach involves passive measurement of static electric field of the environment flowing through sense electrode. This sensing method leverages electric field distortion by the presence of an intruder (e.g. human body). Mirage sensor has simple analog circuitry and supports ultra-low power operation. It requires no instrumentation to the user, and can be configured as environmental, mobile, and peripheral-attached sensor. We report on a series of experiments with 10 participants showing robust activity and gesture recognition, as well as promising results for robust location classification and multiple user differentiation. To further illustrate the utility of our approach, we demonstrate real-time interactive applications including activity monitoring, and two games which allow the users to interact with a computer using body motion and gestures.	['Touch screens', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction devices']	17	['Adiyan Mujibiya', 'Jun Rekimoto']	['Interaction Devices', 'Human Computer Interaction', 'Touch Screens', 'Human-centered Computing']	17.0	Mirage proposes an effective non body contact technique to infer the amount and type of body motion, gesture, and activity. This approach involves passive measurement of static electric field of the environment flowing through sense electrode. This sensing method leverages electric field distortion by the presence of an intruder (e.g. human body). Mirage sensor has simple analog circuitry and supports ultra-low power operation. It requires no instrumentation to the user, and can be configured as environmental, mobile, and peripheral-attached sensor. We report on a series of experiments with 10 participants showing robust activity and gesture recognition, as well as promising results for robust location classification and multiple user differentiation. To further illustrate the utility of our approach, we demonstrate real-time interactive applications including activity monitoring, and two games which allow the users to interact with a computer using body motion and gestures.	Mirage: exploring interaction modalities using off-body static electric field sensing.
7375	['Jaime Teevan']	The re: search engine: simultaneous support for finding and re-finding.	23-32	2007	UIST	UIST	['https://doi.org/10.1145/1294211.1294217']	conf/uist/2007	['db/conf/uist/uist2007.html#Teevan07']												"Re-finding, a common Web task, is difficult when previously viewed information is modified, moved, or removed. For example, if a person finds a good result using the query ""breast cancer treatments"", she expects to be able to use the same query to locate the same result again. While re-finding could be supported by caching the original list, caching precludes the discovery of new information, such as, in this case, new treatment options. People often use search engines to simultaneously find and re-find information. The Re:Search Engine is designed to support both behaviors in dynamic environments like the Web by preserving only the memorable aspects of a result list. A study of result list memory shows that people forget a lot. The Re:Search Engine takes advantage of these memory lapses to include new results where old results have been forgotten."	['Document preparation', 'Multi / mixed media creation', 'Hypertext / hypermedia', 'Graphical user interfaces', 'Document management and text processing', 'Human computer interaction (HCI)', 'Applied computing', 'Human-centered computing', 'Interaction paradigms']	30	['Jaime Teevan']	['Graphical User Interfaces', 'Human-centered Computing', 'Hypertext Hypermedia', 'Document Management And Text Processing', 'Applied Computing', 'Document Preparation', 'Human Computer Interaction', 'Interaction Paradigms', 'Multi Mixed Media Creation']	30.0	"Re-finding, a common Web task, is difficult when previously viewed information is modified, moved, or removed. For example, if a person finds a good result using the query ""breast cancer treatments"", she expects to be able to use the same query to locate the same result again. While re-finding could be supported by caching the original list, caching precludes the discovery of new information, such as, in this case, new treatment options. People often use search engines to simultaneously find and re-find information. The Re:Search Engine is designed to support both behaviors in dynamic environments like the Web by preserving only the memorable aspects of a result list. A study of result list memory shows that people forget a lot. The Re:Search Engine takes advantage of these memory lapses to include new results where old results have been forgotten."	The re: search engine: simultaneous support for finding and re-finding.
7376	['J', 'Renaud Gervais', 'St', 'Fabien Lotte', 'Martin Hachet']	Teegi: tangible EEG interface.	301-308	2014	UIST	UIST	['https://doi.org/10.1145/2642918.2647368']	conf/uist/2014	['db/conf/uist/uist2014.html#FreyGFLH14']												We introduce Teegi, a Tangible ElectroEncephaloGraphy (EEG) Interface that enables novice users to get to know more about something as complex as brain signals, in an easy, engaging and informative way. To this end, we have designed a new system based on a unique combination of spatial augmented reality, tangible interaction and real-time neurotechnologies. With Teegi, a user can visualize and analyze his or her own brain activity in real-time, on a tangible character that can be easily manipulated, and with which it is possible to interact. An exploration study has shown that interacting with Teegi seems to be easy, motivating, reliable and informative. Overall, this suggests that Teegi is a promising and relevant training and mediation tool for the general public.	['Machine learning', 'Multimedia information systems', 'Information systems', 'Information systems applications', 'Computing methodologies', 'Human computer interaction (HCI)', 'Human-centered computing']	21	['J', 'Renaud Gervais', 'St', 'Fabien Lotte', 'Martin Hachet']	['Multimedia Information Systems', 'Computing Methodologies', 'Information Systems', 'Human-centered Computing', 'Information Systems Applications', 'Human Computer Interaction', 'Machine Learning']	21.0	We introduce Teegi, a Tangible ElectroEncephaloGraphy (EEG) Interface that enables novice users to get to know more about something as complex as brain signals, in an easy, engaging and informative way. To this end, we have designed a new system based on a unique combination of spatial augmented reality, tangible interaction and real-time neurotechnologies. With Teegi, a user can visualize and analyze his or her own brain activity in real-time, on a tangible character that can be easily manipulated, and with which it is possible to interact. An exploration study has shown that interacting with Teegi seems to be easy, motivating, reliable and informative. Overall, this suggests that Teegi is a promising and relevant training and mediation tool for the general public.	Teegi: tangible EEG interface.
7377	['Ruta Desai', 'James McCann', 'Stelian Coros']	Assembly-aware Design of Printable Electromechanical Devices.	457-472	2018	UIST	UIST	['https://doi.org/10.1145/3242587.3242655']	conf/uist/2018	['db/conf/uist/uist2018.html#DesaiMC18']												From smart toys and household appliances to personal robots, electromechanical devices play an increasingly important role in our daily lives. Rather than relying on gadgets that are mass-produced, our goal is to enable casual users to custom-design such devices based on their own needs and preferences. To this end, we present a computational design system that leverages the power of digital fabrication and the emergence of affordable electronics such as sensors and microcontrollers. The input to our system consists of a 3D representation of the desired device's shape, and a set of user-preferred off-the-shelf components. Based on this input, our method generates an optimized, 3D printable enclosure that can house the required components. To create these designs automatically, we formalize a new spatio-temporal model that captures the entire assembly process, including the placement of the components within the device, mounting structures and attachment strategies, the order in which components must be inserted, and collision-free assembly paths. Using this model as a technical core, we then leverage engineering design guidelines and efficient numerical techniques to optimize device designs. In a user study, which also highlights the challenges of designing such devices, we find our system to be effective in reducing the entry barriers faced by casual users in creating such devices. We further demonstrate the versatility of our approach by designing and fabricating three devices with diverse functionalities.	['Engineering', 'Graphical user interfaces', 'Physical sciences and engineering', 'Computer-aided design', 'Human computer interaction (HCI)', 'Applied computing', 'Human-centered computing', 'Interaction paradigms']	2	['Ruta Desai', 'James Mccann', 'Stelian Coros']	['Graphical User Interfaces', 'Physical Sciences And Engineering', 'Human-centered Computing', 'Computer-aided Design', 'Applied Computing', 'Human Computer Interaction', 'Engineering', 'Interaction Paradigms']	2.0	From smart toys and household appliances to personal robots, electromechanical devices play an increasingly important role in our daily lives. Rather than relying on gadgets that are mass-produced, our goal is to enable casual users to custom-design such devices based on their own needs and preferences. To this end, we present a computational design system that leverages the power of digital fabrication and the emergence of affordable electronics such as sensors and microcontrollers. The input to our system consists of a 3D representation of the desired device's shape, and a set of user-preferred off-the-shelf components. Based on this input, our method generates an optimized, 3D printable enclosure that can house the required components. To create these designs automatically, we formalize a new spatio-temporal model that captures the entire assembly process, including the placement of the components within the device, mounting structures and attachment strategies, the order in which components must be inserted, and collision-free assembly paths. Using this model as a technical core, we then leverage engineering design guidelines and efficient numerical techniques to optimize device designs. In a user study, which also highlights the challenges of designing such devices, we find our system to be effective in reducing the entry barriers faced by casual users in creating such devices. We further demonstrate the versatility of our approach by designing and fabricating three devices with diverse functionalities.	Assembly-aware Design of Printable Electromechanical Devices.
7378	['Sarah E. Chasins', 'Maria Mueller', 'Rastislav Bod']	Rousillon: Scraping Distributed Hierarchical Web Data.	963-975	2018	UIST	UIST	['https://doi.org/10.1145/3242587.3242661']	conf/uist/2018	['db/conf/uist/uist2018.html#ChasinsMB18']												Programming by Demonstration (PBD) promises to enable data scientists to collect web data. However, in formative interviews with social scientists, we learned that current PBD tools are insufficient for many real-world web scraping tasks. The missing piece is the capability to collect hierarchically-structured data from across many different webpages. We present Rousillon, a programming system for writing complex web automation scripts by demonstration. Users demonstrate how to collect the first row of a 'universal table' view of a hierarchical dataset to teach Rousillon how to collect all rows. To offer this new demonstration model, we developed novel relation selection and generalization algorithms. In a within-subject user study on 15 computer scientists, users can write hierarchical web scrapers 8 times more quickly with Rousillon than with traditional programming.	['Web-based interaction', 'World Wide Web', 'Software and its engineering', 'Development frameworks and environments', 'Data extraction and integration', 'Information systems', 'Web mining', 'Context specific languages', 'Programming by example', 'Integrated and visual development environments', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction paradigms', 'Software notations and tools']	17	['Sarah E. Chasins', 'Maria Mueller', 'Rastislav Bod']	['Software Notations And Tools', 'Information Systems', 'Human-centered Computing', 'Interaction Paradigms', 'Data Extraction And Integration', 'Development Frameworks And Environments', 'Web Mining', 'Programming By Example', 'World Wide Web', 'Context Specific Languages', 'Human Computer Interaction', 'Software And Its Engineering', 'Web-based Interaction', 'Integrated And Visual Development Environments']	17.0	Programming by Demonstration (PBD) promises to enable data scientists to collect web data. However, in formative interviews with social scientists, we learned that current PBD tools are insufficient for many real-world web scraping tasks. The missing piece is the capability to collect hierarchically-structured data from across many different webpages. We present Rousillon, a programming system for writing complex web automation scripts by demonstration. Users demonstrate how to collect the first row of a 'universal table' view of a hierarchical dataset to teach Rousillon how to collect all rows. To offer this new demonstration model, we developed novel relation selection and generalization algorithms. In a within-subject user study on 15 computer scientists, users can write hierarchical web scrapers 8 times more quickly with Rousillon than with traditional programming.	Rousillon: Scraping Distributed Hierarchical Web Data.
7379	['Thomas Augsten', 'Konstantin Kaefer', 'Ren', 'Caroline Fetzer', 'Dorian Kanitz', 'Thomas Stoff', 'Torsten Becker', 'Christian Holz 0001', 'Patrick Baudisch']	Multitoe: high-precision interaction with back-projected floors based on high-resolution multi-touch input.	209-218	2010	UIST	UIST	['https://doi.org/10.1145/1866029.1866064']	conf/uist/2010	['db/conf/uist/uist2010.html#AugstenKMFKSBHB10']												Tabletop applications cannot display more than a few dozen on-screen objects. The reason is their limited size: tables cannot become larger than arm's length without giving up direct touch. We propose creating direct touch surfaces that are orders of magnitude larger. We approach this challenge by integrating high-resolution multitouch input into a back-projected floor. As the same time, we maintain the purpose and interaction concepts of tabletop computers, namely direct manipulation.	['Touch screens', 'Interaction devices', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction paradigms']	70	['Thomas Augsten', 'Konstantin Kaefer', 'Ren', 'Caroline Fetzer', 'Dorian Kanitz', 'Thomas Stoff', 'Torsten Becker', 'Christian Holz 0001', 'Patrick Baudisch']	['Touch Screens', 'Human-centered Computing', 'Interaction Devices', 'Human Computer Interaction', 'Interaction Paradigms']	70.0	Tabletop applications cannot display more than a few dozen on-screen objects. The reason is their limited size: tables cannot become larger than arm's length without giving up direct touch. We propose creating direct touch surfaces that are orders of magnitude larger. We approach this challenge by integrating high-resolution multitouch input into a back-projected floor. As the same time, we maintain the purpose and interaction concepts of tabletop computers, namely direct manipulation.	Multitoe: high-precision interaction with back-projected floors based on high-resolution multi-touch input.
